time_s,d_0.25,d_0.50,d_0.75
0.000000,0.600000,0.333333,0.142857
0.000021,0.256000,0.592593,0.839650
0.000042,-0.061440,-0.131687,-0.102814
0.000063,0.014746,0.029264,0.012590
0.000083,-0.003539,-0.006503,-0.001542
0.000104,0.000849,0.001445,0.000189
0.000125,-0.000204,-0.000321,-0.000023
0.000146,0.000049,0.000071,0.000003
0.000167,-0.000012,-0.000016,-0.000000
0.000188,0.000003,0.000004,0.000000
0.000208,-0.000001,-0.000001,-0.000000
0.000229,0.000000,0.000000,0.000000
0.000250,-0.000000,-0.000000,-0.000000
0.000271,0.000000,0.000000,0.000000
0.000292,-0.000000,-0.000000,-0.000000
0.000312,0.000000,0.000000,0.000000
0.000333,-0.000000,-0.000000,-0.000000
0.000354,0.000000,0.000000,0.000000
0.000375,-0.000000,-0.000000,-0.000000
0.000396,0.000000,0.000000,0.000000
0.000417,-0.000000,-0.000000,-0.000000
0.000438,0.000000,0.000000,0.000000
0.000458,-0.000000,-0.000000,-0.000000
0.000479,0.000000,0.000000,0.000000
0.000500,-0.000000,-0.000000,0.000000
0.000521,0.000000,0.000000,0.000000
0.000542,-0.000000,-0.000000,0.000000
0.000562,0.000000,0.000000,0.000000
0.000583,-0.000000,-0.000000,0.000000
0.000604,0.000000,0.000000,0.000000
0.000625,-0.000000,-0.000000,0.000000
0.000646,0.000000,0.000000,0.000000
0.000667,-0.000000,0.000000,0.000000
0.000687,0.000000,0.000000,0.000000
0.000708,0.000000,0.000000,0.000000
0.000729,0.000000,0.000000,0.000000
0.000750,0.000000,0.000000,0.000000
0.000771,0.000000,0.000000,0.000000
0.000792,0.000000,0.000000,0.000000
0.000813,0.000000,0.000000,0.000000
0.000833,0.000000,0.000000,0.000000
0.000854,0.000000,0.000000,0.000000
0.000875,0.000000,0.000000,0.000000
0.000896,0.000000,0.000000,0.000000
0.000917,0.000000,0.000000,0.000000
0.000937,0.000000,0.000000,0.000000
0.000958,0.000000,0.000000,0.000000
0.000979,0.000000,0.000000,0.000000
0.001000,0.000000,0.000000,0.000000
0.001021,0.000000,0.000000,0.000000
0.001042,0.000000,0.000000,0.000000
0.001063,0.000000,0.000000,0.000000
0.001083,0.000000,0.000000,0.000000
0.001104,0.000000,0.000000,0.000000
0.001125,0.000000,0.000000,0.000000
0.001146,0.000000,0.000000,0.000000
0.001167,0.000000,0.000000,0.000000
0.001187,0.000000,0.000000,0.000000
0.001208,0.000000,0.000000,0.000000
0.001229,0.000000,0.000000,0.000000
0.001250,0.000000,0.000000,0.000000
0.001271,0.000000,0.000000,0.000000
0.001292,0.000000,0.000000,0.000000
0.001312,0.000000,0.000000,0.000000
